Universitas,Program Studi,Jenjang,Tipe,Nomor SK,Tahun,Singkatan Umum/Resmi,Email
Universitas Bina Taruna Gorontalo,Perencanaan Wilayah,S1,16,996/SK/BAN-PT/Ak/S/III/2023,2023,UNBITA,s1perencanaanwilayah@UNBITA.ac.id
Politeknik Pariwisata Batam,Perencanaan Dan Pengembangan Pariwisata,S2 Terapan,17,1211/SK/BAN-PT/Ak/MTr/IV/2023,2023,POLTEKPAR Batam,s2terapanperencanaandanpengembanganpariwisata@POLTEKPARBatam.ac.id
Politeknik Negeri Padang,Teknik Perencanaan Irigasi Dan Rawa,D4,PTN,0036/SK/LAM Teknik/VST/IV/2023,2023,PNP,d4teknikperencanaanirigasidanrawa@PNP.ac.id
Universitas Bung Hatta,Perencanaan Wilayah Dan Kota,S1,10,1837/SK/BAN-PT/Ak.Ppj/S/V/2023,2023,UBH,s1perencanaanwilayahdankota@UBH.ac.id
Universitas Muhammadiyah Makassar,Perencanaan Wilayah Dan Kota,S1,9,2095/SK/BAN-PT/Ak/S/VI/2023,2023,UNISMUH,s1perencanaanwilayahdankota@UNISMUH.ac.id
Universitas Hasanuddin,Perencanaan Wilayah Dan Kota,S1,PTN,2291/SK/BAN-PT/Akred-Itnl/S/VI/2023,2023,UNHAS,s1perencanaanwilayahdankota@UNHAS.ac.id
Universitas Muhammadiyah Berau,Perencanaan Wilayah Dan Kota,S1,11,2341/SK/BAN-PT/Ak/S/VI/2023,2023,UMB,s1perencanaanwilayahdankota@UMB.ac.id
Universitas Sumatera Utara,Perencanaan Wilayah,S3,PTN,2514/SK/BAN-PT/Ak.Ppj/D/VI/2023,2023,USU,s3perencanaanwilayah@USU.ac.id
Universitas Pohuwato,Perencanaan Wilayah,S1,16,3954/SK/BAN-PT/Ak/S/X/2023,2023,UNIPO,s1perencanaanwilayah@UNIPO.ac.id
Universitas Indonesia,Perencanaan Dan Kebijakan Publik,S2,PTN,4135/SK/BAN-PT/Ak.Ppj/M/X/2023,2023,UI,s2perencanaandankebijakanpublik@UI.ac.id
Institut Teknologi Kalimantan,Perencanaan Wilayah Dan Kota,S1,PTN,4385/SK/BAN-PT/Ak.Ppj/S/X/2023,2023,ITK,s1perencanaanwilayahdankota@ITK.ac.id
Institut Sains Dan Teknologi Td Pardede,Perencanaan Wilayah Dan Kota,S1,1,4437/SK/BAN-PT/Ak/S/X/2023,2023,ISTP,s1perencanaanwilayahdankota@ISTP.ac.id
Institut Teknologi Indonesia,Perencanaan Wilayah Dan Kota,S1,3,4410/SK/BAN-PT/Ak/S/X/2023,2023,ITI,s1perencanaanwilayahdankota@ITI.ac.id
Universitas Bosowa,Perencanaan Wilayah Dan Kota,S2,9,4995/SK/BAN-PT/Ak.Ppj/M/XI/2023,2023,Ubos,s2perencanaanwilayahdankota@Ubos.ac.id
Institut Pertanian Bogor,Ilmu Perencanaan Wilayah,S2,PTN,4927/SK/BAN-PT/Ak.KP/M/XI/2023,2023,IPB,s2ilmuperencanaanwilayah@IPB.ac.id
Universitas Indonesia,Perencanaan Wilayah Dan Kota,S2,PTN,5053/SK/BAN-PT/Ak/M/XII/2023,2023,UI,s2perencanaanwilayahdankota@UI.ac.id
Universitas Komputer Indonesia,Teknik Perencanaan Wilayah Dan Kota,S1,4,5323/SK/BAN-PT/PEPA-Ppj/S/XII/2023,2023,UNIKOM,s1teknikperencanaanwilayahdankota@UNIKOM.ac.id
Institut Teknologi Sains Bandung,Perencanaan Wilayah Dan Kota,S1,4,5318/SK/BAN-PT/PEPA-Ppj/S/XII/2023,2023,ITSB,s1perencanaanwilayahdankota@ITSB.ac.id
Universitas Islam Kuantan Singingi,Perencanaan Wilayah Dan Kota,S1,17,652/SK/BAN-PT/Ak-PPJ/S/I/2022,2022,UNIKS,s1perencanaanwilayahdankota@UNIKS.ac.id
Universitas Terbuka,Perencanaan Wilayah Dan Kota,S1,PTN,1063/SK/BAN-PT/Ak-PPJ/S/II/2022,2022,UT,s1perencanaanwilayahdankota@UT.ac.id
Universitas Diponegoro,Perencanaan Tata Ruang Dan Pertanahan,D4,PTN,1327/SK/BAN-PT/Akred/ST/III/2022,2022,UNDIP,d4perencanaantataruangdanpertanahan@UNDIP.ac.id
Universitas Muhammadiyah Bulukumba,Perencanaan Wilayah Dan Kota,S1,9,1559/SK/BAN-PT/Akred/S/III/2022,2022,UM Bulukumba,s1perencanaanwilayahdankota@UMBulukumba.ac.id
Universitas Sali Al-Aitaam,Perencanaan Wilayah Dan Kota,S1,4,2796/SK/BAN-PT/PB-PS/S/V/2022,2022,USA,s1perencanaanwilayahdankota@USA.ac.id
Universitas Diponegoro,Perencanaan Wilayah Dan Kota,S1,PTN,3407/SK/BAN-PT/Akred-Itnl/S/V/2022,2022,UNDIP,s1perencanaanwilayahdankota@UNDIP.ac.id
Universitas Diponegoro,Perencanaan Wilayah Dan Kota,S2,PTN,3406/SK/BAN-PT/Akred-Itnl/M/V/2022,2022,UNDIP,s2perencanaanwilayahdankota@UNDIP.ac.id
Universitas Riau,Perencanaan Wilayah Dan Perdesaan,S2,PTN,4074/SK/BAN-PT/PB-PS/M/VII/2022,2022,UNRI,s2perencanaanwilayahdanperdesaan@UNRI.ac.id
Institut Modern Arsitektur Dan Teknologi,Perencanaan Wilayah Dan Kota,S1,1,4072/SK/BAN-PT/PB-PS/S/VII/2022,2022,IMAT,s1perencanaanwilayahdankota@IMAT.ac.id
Institut Teknologi Dan Bisnis Stikom Ambon,Perencanaan Wilayah Dan Kota,S1,12,4073/SK/BAN-PT/PB-PS/S/VII/2022,2022,ITB Stikom Ambon,s1perencanaanwilayahdankota@ITBStikomAmbon.ac.id
Universitas Batam,Perencanaan Wilayah,S2,17,4637/SK/BAN-PT/Ak/M/VII/2022,2022,UNIBA,s2perencanaanwilayah@UNIBA.ac.id
Universitas Islam Bandung,Perencanaan Wilayah Dan Kota,S1,4,4955/SK/BAN-PT/Ak-PPJ/S/VII/2022,2022,UNISBA,s1perencanaanwilayahdankota@UNISBA.ac.id
Universitas Cenderawasih,Perencanaan Wilayah Dan Kota,S2,PTN,5079/SK/BAN-PT/Ak/M/VII/2022,2022,UNCEN,s2perencanaanwilayahdankota@UNCEN.ac.id
Universitas Indo Global Mandiri,Perencanaan Wilayah Dan Kota,S1,2,6537/SK/BAN-PT/Ak.Ppj/S/IX/2022,2022,UIGM,s1perencanaanwilayahdankota@UIGM.ac.id
Universitas Pattimura,Perencanaan Wilayah Dan Kota,S1,PTN,6843/SK/BAN-PT/Ak.KP/S/X/2022,2022,UNPATTI,s1perencanaanwilayahdankota@UNPATTI.ac.id
Universitas Brawijaya,Perencanaan Wilayah Dan Kota,S2,PTN,7117/SK/BAN-PT/Ak/M/X/2022,2022,UB,s2perencanaanwilayahdankota@UB.ac.id
Universitas Amal Ilmiah Yapis Wamena,Perencanaan Wilayah Dan Kota,S1,14,8437/SK/BAN-PT/Ak/S/X/2022,2022,UNAIM,s1perencanaanwilayahdankota@UNAIM.ac.id
Universitas Hasanuddin,Perencanaan Wilayah Dan Kota,S2,PTN,10086/SK/BAN-PT/Ak/M/XI/2022,2022,UNHAS,s2perencanaanwilayahdankota@UNHAS.ac.id
Universitas Tarumanagara,Perencanaan Wilayah Dan Kota,S1,3,10516/SK/BAN-PT/Ak-PPJ/S/VIII/2021,2021,UNTAR,s1perencanaanwilayahdankota@UNTAR.ac.id
Politeknik Pariwisata Medan,Manajemen Perencanaan Dan Pemasaran Pariwisata,D3,PTKL,390/SK/BAN-PT/Akred/Dipl-III/I/2021,2021,POLTEKPAR Medan,d3manajemenperencanaandanpemasaranpariwisata@POLTEKPARMedan.ac.id
Universitas Diponegoro,Perencanaan Wilayah Dan Kota,D3,PTN,708/SK/BAN-PT/Ak-PPJ/Dipl-III/II/2021,2021,UNDIP,d3perencanaanwilayahdankota@UNDIP.ac.id
Universitas Semarang,Perencanaan Wilayah Dan Kota,S1,6,884/SK/BAN-PT/Akred/S/II/2021,2021,USM,s1perencanaanwilayahdankota@USM.ac.id
Universitas Lakidende Unahaa,Perencanaan Wilayah Dan Kota,S1,9,1623/SK/BAN-PT/Akred/S/III/2021,2021,UNILAKI,s1perencanaanwilayahdankota@UNILAKI.ac.id
Universitas Lampung,Perencanaan Wilayah Dan Kota,S2,PTN,1611/SK/BAN-PT/Akred/M/III/2021,2021,UNILA,s2perencanaanwilayahdankota@UNILA.ac.id
Universitas Karimun,Perencanaan Wilayah Dan Kota,S1,17,1742/SK/BAN-PT/Akred/S/III/2021,2021,UK,s1perencanaanwilayahdankota@UK.ac.id
Universitas Teknologi Sulawesi Utara,Perencanaan Wilayah Dan Kota,S1,16,8953/SK/BAN-PT/Akred/S/VI/2021,2021,UTSU,s1perencanaanwilayahdankota@UTSU.ac.id
Universitas Gadjah Mada,Perencanaan Wilayah Dan Kota,S1,PTN,10215/SK/BAN-PT/Akred-Itnl/S/VIII/2021,2021,UGM,s1perencanaanwilayahdankota@UGM.ac.id
Universitas Gadjah Mada,Magister Perencanaan Wilayah Dan Kota,S2,PTN,10214/SK/BAN-PT/Akred-Itnl/M/VIII/2021,2021,UGM,s2magisterperencanaanwilayahdankota@UGM.ac.id
Universitas Pakuan,Perencanaan Wilayah Dan Kota,S2,4,10328/SK/BAN-PT/Akred/M/VIII/2021,2021,UNPAK,s2perencanaanwilayahdankota@UNPAK.ac.id
Institut Teknologi Bandung,Perencanaan Wilayah Dan Kota,S2,PTN,10660/SK/BAN-PT/AK-ISK/M/IX/2021,2021,ITB,s2perencanaanwilayahdankota@ITB.ac.id
Universitas Diponegoro,Perencanaan Tata Ruang Wilayah Dan Kota K. Pekalongan,D3,PTN,12068/SK/BAN-PT/Akred/Dipl-III/XI/2021,2021,UNDIP,d3perencanaantataruangwilayahdankotakpekalongan@UNDIP.ac.id
Universitas Esa Unggul,Perencanaan Wilayah Dan Kota,S1,3,12921/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,UEU,s1perencanaanwilayahdankota@UEU.ac.id
Politeknik Negeri Pontianak,Perencanaan Perumahan Dan Pemukiman,D4,PTN,13838/SK/BAN-PT/Ak-PPJ/ST/XII/2021,2021,POLNEP,d4perencanaanperumahandanpemukiman@POLNEP.ac.id
Universitas Pradita,Perencanaan Wilayah Dan Kota,S1,3,8335/SK/BAN-PT/Akred/S/XII/2020,2020,UP,s1perencanaanwilayahdankota@UP.ac.id
Universitas Karyadarma Kupang,Perencanaan Wilayah Dan Kota,S1,15,8339/SK/BAN-PT/Akred/S/XII/2020,2020,UNDARMA,s1perencanaanwilayahdankota@UNDARMA.ac.id
Universitas Indonesia,Kajian Pengembangan Perkotaan,S2,PTN,6470/SK/BAN-PT/Ak.KP/M/V/2025,2025,UI,s2kajianpengembanganperkotaan@UI.ac.id
Universitas Gadjah Mada,Magister Rancang Kota,S2,PTN,370/SK/BAN-PT/Ak/M/II/2024,2024,UGM,s2magisterrancangkota@UGM.ac.id
Institut Teknologi Bandung,Rancang Kota,S2,PTN,5363/SK/BAN-PT/Ak-PPJ/M/VIII/2022,2022,ITB,s2rancangkota@ITB.ac.id
Institut Teknologi Yogyakarta,Ilmu Lingkungan,S2,5,4803/SK/BAN-PT/Ak.Ppj/M/VI/2024,2024,ITY,s2ilmulingkungan@ITY.ac.id
Universitas Al-Muslim,Ilmu Lingkungan,S1,13,7472/SK/BAN-PT/Ak.P/S/IX/2025,2025,UMA,s1ilmulingkungan@UMA.ac.id
Universitas Andalas,Ilmu Lingkungan,S2,PTN,3050/SK/BAN-PT/Ak/M/VIII/2023,2023,UNAND,s2ilmulingkungan@UNAND.ac.id
Universitas Bengkulu,Ilmu Lingkungan,S1,PTN,3811/SK/BAN-PT/Ak.P/S/IV/2024,2024,UNIB,s1ilmulingkungan@UNIB.ac.id
Universitas Bojonegoro,Ilmu Lingkungan,S1,7,3784/SK/BAN-PT/Akred/S/VI/2022,2022,UNIRO,s1ilmulingkungan@UNIRO.ac.id
Universitas Brawijaya,Ilmu Lingkungan,S3,PTN,743/SK/BAN-PT/Ak/D/III/2024,2024,UB,s3ilmulingkungan@UB.ac.id
Universitas Caritas Indonesia,Ilmu Lingkungan,S1,14,5782/SK/BAN-PT/Ak.P/S/IX/2024,2024,UCAR,s1ilmulingkungan@UCAR.ac.id
Universitas Diponegoro,Ilmu Lingkungan,S2,PTN,7476/SK/BAN-PT/Ak.Ppj/M/IX/2025,2025,UNDIP,s2ilmulingkungan@UNDIP.ac.id
Universitas Diponegoro,Ilmu Lingkungan,S3,PTN,518/SK/BAN-PT/Ak.Ppj/D/II/2023,2023,UNDIP,s3ilmulingkungan@UNDIP.ac.id
Universitas Dumoga Kotamobagu,Ilmu Lingkungan,S1,16,7303/SK/BAN-PT/Ak.P/S/VIII/2025,2025,UDK,s1ilmulingkungan@UDK.ac.id
Universitas Gadjah Mada,Doktor Ilmu Lingkungan,S3,PTN,6881/SK/BAN-PT/Ak.Ppj/S3/VII/2025,2025,UGM,s3doktorilmulingkungan@UGM.ac.id
Universitas Gadjah Mada,Magister Ilmu Lingkungan,S2,PTN,2848/SK/BAN-PT/AK-ISK/M/V/2022,2022,UGM,s2magisterilmulingkungan@UGM.ac.id
Universitas Halu Oleo,Ilmu Lingkungan,S1,PTN,7500/SK/BAN-PT/Ak.S/S/IX/2025,2025,UHO,s1ilmulingkungan@UHO.ac.id
Universitas Hasanuddin,Ilmu Lingkungan,S3,PTN,7128/SK/BAN-PT/Ak/S3/VIII/2025,2025,UNHAS,s3ilmulingkungan@UNHAS.ac.id
Universitas Ibn Khaldun,Ilmu Lingkungan,S1,4,361/SK/BAN-PT/Ak.P/S/III/2025,2025,UIKA,s1ilmulingkungan@UIKA.ac.id
Universitas Indonesia,Ilmu Lingkungan,S2,PTN,6763/SK/BAN-PT/Ak.Ppj/M/VI/2025,2025,UI,s2ilmulingkungan@UI.ac.id
Universitas Indonesia,Ilmu Lingkungan,S3,PTN,1772/SK/BAN-PT/Ak.KP/D/V/2023,2023,UI,s3ilmulingkungan@UI.ac.id
Universitas Islam Negeri Antasari Banjarmasin,Ilmu Lingkungan,S1,PTAN,7171/SK/BAN-PT/Ak.P/2.0/S1/IX/2025,2025,UIN Antasari,s1ilmulingkungan@UINAntasari.ac.id
Universitas Islam Negeri Profesor Kiai Haji Saifuddin Zuhri Purwokerto,Ilmu Lingkungan,S1,PTAN,962/SK/BAN-PT/Ak.P/S/III/2024,2024,UIN SAIZU,s1ilmulingkungan@UINSAIZU.ac.id
Universitas Islam Negeri Raden Mas Said Surakarta,Ilmu Lingkungan,S1,PTAN,475/SK/BAN-PT/Ak.P/S/II/2024,2024,UIN Raden Mas Said,s1ilmulingkungan@UINRadenMasSaid.ac.id
Universitas Ivet,Ilmu Lingkungan,S1,6,1335/SK/BAN-PT/Akred/S/III/2022,2022,UNIVET,s1ilmulingkungan@UNIVET.ac.id
Universitas Jambi,Ilmu Lingkungan,S2,PTN,13752/SK/BAN-PT/Ak-PPJ/M/XII/2021,2021,UNJA,s2ilmulingkungan@UNJA.ac.id
Universitas Jenderal Soedirman,Ilmu Lingkungan,S2,PTN,3775/SK/BAN-PT/Akred/M/VI/2022,2022,UNSOED,s2ilmulingkungan@UNSOED.ac.id
Universitas Katolik Soegijapranata,Ilmu Lingkungan,S3,6,8945/SK/BAN-PT/Akred/D/VI/2021,2021,UNIKA Soegijapranata,s3ilmulingkungan@UNIKASoegijapranata.ac.id
Universitas Kuningan,Ilmu Lingkungan,S1,4,4126/SK/BAN-PT/Akred/S/VII/2022,2022,UNIKU,s1ilmulingkungan@UNIKU.ac.id
Universitas Lambung Mangkurat,Ilmu Lingkungan,S1,PTN,2401/SK/BAN-PT/Ak.P/S1/IV/2025,2025,ULM,s1ilmulingkungan@ULM.ac.id
Universitas Lambung Mangkurat,Ilmu Lingkungan,S3,PTN,601/SK/BAN-PT/Ak/D/II/2024,2024,ULM,s3ilmulingkungan@ULM.ac.id
Universitas Lampung,Ilmu Lingkungan,S2,PTN,6321/SK/BAN-PT/Ak/M/V/2025,2025,UNILA,s2ilmulingkungan@UNILA.ac.id
Universitas Lampung,Ilmu Lingkungan,S3,PTN,6625/SK/BAN-PT/Ak/D/V/2025,2025,UNILA,s3ilmulingkungan@UNILA.ac.id
Universitas Lancang Kuning,Ilmu Lingkungan,S2,17,6428/SK/BAN-PT/Ak/M/X/2024,2024,UNILAK,s2ilmulingkungan@UNILAK.ac.id
Universitas Maritim Raja Ali Haji,Ilmu Lingkungan,S2,PTN,1220/SK/BAN-PT/Ak/M/IV/2023,2023,UMRAH,s2ilmulingkungan@UMRAH.ac.id
Universitas Mataram,Ilmu Lingkungan,S1,PTN,3467/SK/BAN-PT/Akred/S/VI/2022,2022,UNRAM,s1ilmulingkungan@UNRAM.ac.id
Universitas Muhammadiyah Madiun,Ilmu Lingkungan,S1,7,2103/SK/BAN-PT/Ak/S/VI/2023,2023,UMMAD,s1ilmulingkungan@UMMAD.ac.id
Universitas Muhammadiyah Mataram,Ilmu Lingkungan,S2,8,696/SK/BAN-PT/Ak/M/III/2024,2024,UMMAT,s2ilmulingkungan@UMMAT.ac.id
Universitas Muhammadiyah Papua,Ilmu Lingkungan,S1,14,6326/SK/BAN-PT/Ak/S/V/2025,2025,UM Papua,s1ilmulingkungan@UMPapua.ac.id
Universitas Mulawarman,Ilmu Lingkungan,S1,PTN,6953/SK/BAN-PT/Ak.S/S1/VII/2025,2025,UNMUL,s1ilmulingkungan@UNMUL.ac.id
Universitas Mulawarman,Ilmu Lingkungan,S3,PTN,4207/SK/BAN-PT/Ak/D/X/2023,2023,UNMUL,s3ilmulingkungan@UNMUL.ac.id
Universitas Mulawarman,Ilmu Lingkungan,S2,PTN,447/SK/BAN-PT/Ak-PPJ/M/I/2022,2022,UNMUL,s2ilmulingkungan@UNMUL.ac.id
Universitas Musi Rawas,Ilmu Lingkungan,S2,2,342/SK/BAN-PT/Ak/M/III/2025,2025,UNMURA,s2ilmulingkungan@UNMURA.ac.id
Universitas Musi Rawas,Ilmu Lingkungan,S1,2,7762/SK/BAN-PT/Ak/S/X/2025,2025,UNMURA,s1ilmulingkungan@UNMURA.ac.id
Universitas Negeri Gorontalo,Ilmu Lingkungan,S1,PTN,851/SK/BAN-PT/Ak.P/S/III/2024,2024,UNG,s1ilmulingkungan@UNG.ac.id
Universitas Negeri Gorontalo,Ilmu Lingkungan,S3,PTN,444/SK/BAN-PT/Ak.P/D/II/2024,2024,UNG,s3ilmulingkungan@UNG.ac.id
Universitas Negeri Manado,Ilmu Lingkungan,S1,PTN,6579/SK/BAN-PT/Ak.P/S/XI/2024,2024,UNIMA,s1ilmulingkungan@UNIMA.ac.id
Universitas Negeri Padang,Ilmu Lingkungan,S1,PTN,6132/SK/BAN-PT/Ak.P/S/III/2025,2025,UNP,s1ilmulingkungan@UNP.ac.id
Universitas Negeri Padang,Ilmu Lingkungan,S3,PTN,7805/SK/BAN-PT/Ak.S/D/X/2025,2025,UNP,s3ilmulingkungan@UNP.ac.id
Universitas Negeri Padang,Ilmu Lingkungan,S2,PTN,5153/SK/BAN-PT/Ak.Ppj/M/VII/2024,2024,UNP,s2ilmulingkungan@UNP.ac.id
Universitas Negeri Semarang,Ilmu Lingkungan,S1,PTN,1085/SK/BAN-PT/Ak/S/III/2023,2023,UNNES,s1ilmulingkungan@UNNES.ac.id
Universitas Negeri Yogyakarta,Ilmu Lingkungan,S2,PTN,7012/SK/BAN-PT/Ak.P/S2/VII/2025,2025,UNY,s2ilmulingkungan@UNY.ac.id
Universitas Nusa Cendana,Ilmu Lingkungan,S3,PTN,6122/SK/BAN-PT/Ak.P/D/X/2024,2024,UNDANA,s3ilmulingkungan@UNDANA.ac.id
Universitas Padjadjaran,Ilmu Lingkungan,S3,PTN,192/SK/BAN-PT/Ak.Ppj/D/I/2023,2023,UNPAD,s3ilmulingkungan@UNPAD.ac.id
Universitas Padjadjaran,Ilmu Lingkungan,S2,PTN,1754/SK/BAN-PT/Ak.Ppj/M/V/2023,2023,UNPAD,s2ilmulingkungan@UNPAD.ac.id
Universitas Palangka Raya,Ilmu Lingkungan,S3,PTN,7317/SK/BAN-PT/Ak.S/D/VIII/2025,2025,UPR,s3ilmulingkungan@UPR.ac.id
Universitas Papua,Ilmu Lingkungan,S3,PTN,1155/SK/BAN-PT/Akred/D/II/2022,2022,UNIPA,s3ilmulingkungan@UNIPA.ac.id
Universitas Pembangunan Nasional Veteran Jawa Timur,Ilmu Lingkungan,S2,PTN,8119/SK/BAN-PT/Ak.S/M/X/2025,2025,UPN Veteran Jatim,s2ilmulingkungan@UPNVeteranJatim.ac.id
Universitas Persatuan Islam,Ilmu Lingkungan,S1,4,361/SK/BAN-PT/Ak/S/II/2024,2024,UPI,s1ilmulingkungan@UPI.ac.id
Universitas Riau,Ilmu Lingkungan,S2,PTN,1167/SK/BAN-PT/Ak.Ppj/M/IV/2024,2024,UNRI,s2ilmulingkungan@UNRI.ac.id
Universitas Riau,Ilmu Lingkungan,S3,PTN,3219/SK/BAN-PT/Ak-PPJ/D/V/2021,2021,UNRI,s3ilmulingkungan@UNRI.ac.id
Universitas Sebelas Maret,Ilmu Lingkungan,S2,PTN,7431/SK/BAN-PT/Ak/M/IX/2025,2025,UNS,s2ilmulingkungan@UNS.ac.id
Universitas Sebelas Maret,Ilmu Lingkungan,S3,PTN,4125/SK/BAN-PT/Ak/D/V/2024,2024,UNS,s3ilmulingkungan@UNS.ac.id
Universitas Sebelas Maret,Ilmu Lingkungan,S1,PTN,11449/SK/BAN-PT/Akred/S/X/2021,2021,UNS,s1ilmulingkungan@UNS.ac.id
Universitas Serasan,Ilmu Lingkungan,S1,2,8106/SK/BAN-PT/Ak.P/S/X/2025,2025,UNSER,s1ilmulingkungan@UNSER.ac.id
Universitas Sriwijaya,Ilmu Lingkungan,S3,PTN,12453/SK/BAN-PT/Akred/D/XI/2021,2021,UNSRI,s3ilmulingkungan@UNSRI.ac.id
Universitas Tanjungpura,Ilmu Lingkungan,S2,PTN,917/SK/BAN-PT/Ak/M/III/2024,2024,UNTAN,s2ilmulingkungan@UNTAN.ac.id
Universitas Udayana,Ilmu Lingkungan,S2,PTN,6332/SK/BAN-PT/Ak.KP/M/V/2025,2025,UNUD,s2ilmulingkungan@UNUD.ac.id
Universitas Udayana,Ilmu Lingkungan,S3,PTN,7299/SK/BAN-PT/Ak.Ppj/D/VIII/2025,2025,UNUD,s3ilmulingkungan@UNUD.ac.id
Universitas Wira Bhakti,Ilmu Lingkungan,S1,9,69/SK/BAN-PT/Ak.P/S/I/2025,2025,UWB,s1ilmulingkungan@UWB.ac.id
Institut Pertanian Bogor,Ilmu Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,PTN,6350/SK/BAN-PT/Ak.KP/M/V/2025,2025,IPB,s2ilmupengelolaansumberdayaalamdanlingkungan@IPB.ac.id
Institut Pertanian Bogor,Manajemen Sumberdaya Perairan,S1,PTN,6484/SK/BAN-PT/Ak.KP/S/V/2025,2025,IPB,s1manajemensumberdayaperairan@IPB.ac.id
Institut Pertanian Bogor,Pengelolaan Sumberdaya Pesisir Dan Lautan,S3,PTN,6652/SK/BAN-PT/Ak.KP/D/V/2025,2025,IPB,s3pengelolaansumberdayapesisirdanlautan@IPB.ac.id
Institut Pertanian Bogor,Ekonomi Sumberdaya Dan Lingkungan,S2,PTN,2743/DE/A.5/AR.10/VIII/2025,2025,IPB,s2ekonomisumberdayadanlingkungan@IPB.ac.id
Institut Pertanian Bogor,Konservasi Sumberdaya Hutan Dan Ekowisata,S1,PTN,6722/SK/BAN-PT/Ak.KP/S/XI/2024,2024,IPB,s1konservasisumberdayahutandanekowisata@IPB.ac.id
Institut Pertanian Bogor,Pengelolaan Sumberdaya Pesisir Dan Lautan,S2,PTN,6382/SK/BAN-PT/Ak.Ppj/M/X/2024,2024,IPB,s2pengelolaansumberdayapesisirdanlautan@IPB.ac.id
Institut Pertanian Bogor,Manajemen Sumberdaya Lahan,S1,PTN,1141/SK/BAN-PT/Ak.KP/S/III/2023,2023,IPB,s1manajemensumberdayalahan@IPB.ac.id
Institut Pertanian Bogor,Pengelolaan Sumberdaya Perairan,S2,PTN,2498/SK/BAN-PT/Ak.KP/M/VI/2023,2023,IPB,s2pengelolaansumberdayaperairan@IPB.ac.id
Institut Pertanian Bogor,Pengelolaan Sumberdaya Perairan,S3,PTN,4297/SK/BAN-PT/Ak.KP/D/X/2023,2023,IPB,s3pengelolaansumberdayaperairan@IPB.ac.id
Institut Pertanian Bogor,Ekonomi Sumberdaya Kelautan Tropika,S2,PTN,2507/SK/BAN-PT/Ak-PPJ/M/IV/2022,2022,IPB,s2ekonomisumberdayakelautantropika@IPB.ac.id
Institut Pertanian Bogor,Ilmu Pengelolaan Sumberdaya Alam Dan Lingkungan,S3,PTN,5309/SK/BAN-PT/Ak.KP/D/VIII/2022,2022,IPB,s3ilmupengelolaansumberdayaalamdanlingkungan@IPB.ac.id
Institut Pertanian Bogor,Ekonomi Sumberdaya Dan Lingkungan,S1,PTN,11543/SK/BAN-PT/AK-ISK/S/X/2021,2021,IPB,s1ekonomisumberdayadanlingkungan@IPB.ac.id
Institut Teknologi Bandung,Pengelolaan Sumberdaya Air,S2,PTN,9749/SK/BAN-PT/AK-ISK/M/VII/2021,2021,ITB,s2pengelolaansumberdayaair@ITB.ac.id
Institut Teknologi Dan Bisnis Maritim Balik Diwa,Pemanfaatan Sumberdaya Perairan,S1,9,6095/SK/BAN-PT/Ak-PNB/S/IX/2022,2021,ITBM Balik Diwa,s1pemanfaatansumberdayaperairan@ITBMBalikDiwa.ac.id
Politeknik Ahli Usaha Perikanan,Pemanfaatan Sumberdaya Perikanan,S2 Terapan,PTKL,7002/SK/BAN-PT/Ak/MTr/XII/2024,2024,POLTEK AUP,s2terapanpemanfaatansumberdayaperikanan@POLTEKAUP.ac.id
Politeknik Ahli Usaha Perikanan,Teknologi Pengelolaan Sumberdaya Perairan,D4,PTKL,1200/SK/BAN-PT/Akred/ST/III/2021,2021,POLTEK AUP,d4teknologipengelolaansumberdayaperairan@POLTEKAUP.ac.id
Politeknik Negeri Ambon,"Manajemen Sumberdaya Perairan, K. Banda Naira",D4,PTN,9080/SK/BAN-PT/Ak/STr/XI/2022,2022,POLNAM,d4manajemensumberdayaperairankbandanaira@POLNAM.ac.id
Politeknik Negeri Lampung,Teknik Sumberdaya Lahan Dan Lingkungan,D3,PTN,0344/SK/LAM Teknik/VD3/VIII/2024,2024,POLINELA,d3tekniksumberdayalahandanlingkungan@POLINELA.ac.id
Sekolah Tinggi Teknologi Kelautan Balik Diwa,Pemanfaatan Sumberdaya Perairan,S1,9,8284/SK/BAN-PT/Ak-PPJ/S/XII/2020,2020,STTK Balik Diwa,s1pemanfaatansumberdayaperairan@STTKBalikDiwa.ac.id
Universitas Al-Muslim,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,13,6950/SK/BAN-PT/Ak.P/M/XII/2024,2024,UMA,s2pengelolaansumberdayaalamdanlingkungan@UMA.ac.id
Universitas Brawijaya,Pengelolaan Sumberdaya Lingkungan Dan Pembangunan,S2,PTN,10371/SK/BAN-PT/Ak.Ppj/M/XII/2022,2022,UB,s2pengelolaansumberdayalingkungandanpembangunan@UB.ac.id
Universitas Cenderawasih,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,PTN,3054/SK/BAN-PT/Ak-PPJ/M/V/2022,2022,UNCEN,s2pengelolaansumberdayaalamdanlingkungan@UNCEN.ac.id
Universitas Diponegoro,Manajemen Sumberdaya Perairan,S3,PTN,4008/SK/BAN-PT/Ak.Ppj/D/V/2024,2024,UNDIP,s3manajemensumberdayaperairan@UNDIP.ac.id
