Universitas,Program Studi,Jenjang,Tipe,Nomor SK,Tahun,email,Peringkat_Akreditasi,Tanggal_Kadaluarsa,Status_Kadaluarsa
Institut Sains Dan Teknologi Td Pardede,Perencanaan Wilayah Dan Kota,S1,1,4437/SK/BAN-PT/Ak/S/X/2023,2023,ftspistp@gmail.com,Baik,2028-10-31,Masih Berlaku
Institut Teknologi Indonesia,Perencanaan Wilayah Dan Kota,S1,3,4410/SK/BAN-PT/Ak/S/X/2023,2023,info@iti.ac.id,Baik Sekali,2028-10-31,Masih Berlaku
Universitas Bosowa,Perencanaan Wilayah Dan Kota,S2,9,4995/SK/BAN-PT/Ak.Ppj/M/XI/2023,2023,info@universitasbosowa.ac.id,Baik Sekali,2028-06-07,Masih Berlaku
Institut Pertanian Bogor,Ilmu Perencanaan Wilayah,S2,PTN,4927/SK/BAN-PT/Ak.KP/M/XI/2023,2023,soil@apps.ipb.ac.id,Unggul,2028-05-09,Masih Berlaku
Universitas Indonesia,Perencanaan Wilayah Dan Kota,S2,PTN,5053/SK/BAN-PT/Ak/M/XII/2023,2023,humas-ui@ui.ac.id,Baik Sekali,2028-12-05,Masih Berlaku
Universitas Komputer Indonesia,Teknik Perencanaan Wilayah Dan Kota,S1,4,5323/SK/BAN-PT/PEPA-Ppj/S/XII/2023,2026,pwk@unikom.ac.id,Baik Sekali,2031-04-09,Masih Berlaku
Institut Teknologi Sains Bandung,Perencanaan Wilayah Dan Kota,S1,4,5318/SK/BAN-PT/PEPA-Ppj/S/XII/2023,2023,office@itsb.ac,Baik,2028-07-25,Masih Berlaku
Universitas Islam Kuantan Singingi,Perencanaan Wilayah Dan Kota,S1,17,652/SK/BAN-PT/Ak-PPJ/S/I/2022,2022,info@uniks.ac.id,Baik,2026-09-30,123 hari lagi kadaluarsa
Universitas Terbuka,Perencanaan Wilayah Dan Kota,S1,PTN,1063/SK/BAN-PT/Ak-PPJ/S/II/2022,2022,pwk_fst@ecampus.ut.ac.id,B,2027-03-01,Masih Berlaku
Universitas Diponegoro,Perencanaan Tata Ruang Dan Pertanahan,D-IV,PTN,1327/SK/BAN-PT/Akred/ST/III/2022,2022,ptrp@live.undip.ac.id,Baik,2027-03-01,Masih Berlaku
Universitas Muhammadiyah Bulukumba,Perencanaan Wilayah Dan Kota,S1,9,1559/SK/BAN-PT/Akred/S/III/2022,2022,info@umbulukumba.ac.id,Baik,2027-03-08,Masih Berlaku
Universitas Sali Al-Aitaam,Perencanaan Wilayah Dan Kota,S1,4,2796/SK/BAN-PT/PB-PS/S/V/2022,2022,info@unisal.ac.id,Baik,2026-12-07,Masih Berlaku
Universitas Diponegoro,Perencanaan Wilayah Dan Kota,S1,PTN,3407/SK/BAN-PT/Akred-Itnl/S/V/2022,2022,dpwk@pwk.undip.ac.id,Unggul,2027-05-31,Masih Berlaku
Universitas Diponegoro,Perencanaan Wilayah Dan Kota,S2,PTN,3406/SK/BAN-PT/Akred-Itnl/M/V/2022,2022,mpwk@live.undip.ac.id,Unggul,2027-05-31,Masih Berlaku
Universitas Riau,Perencanaan Wilayah Dan Perdesaan,S2,PTN,4074/SK/BAN-PT/PB-PS/M/VII/2022,2022,humas@unri.ac.id,Baik,2026-07-05,36 hari lagi kadaluarsa
Institut Modern Arsitektur Dan Teknologi,Perencanaan Wilayah Dan Kota,S1,1,4072/SK/BAN-PT/PB-PS/S/VII/2022,2022,info@imat.ac.id,Baik,2026-06-17,18 hari lagi kadaluarsa
Institut Teknologi Dan Bisnis Stikom Ambon,Perencanaan Wilayah Dan Kota,S1,12,4073/SK/BAN-PT/PB-PS/S/VII/2022,2022,info@stikom-ambon.ac.id,Baik,2027-05-24,Masih Berlaku
Universitas Batam,Perencanaan Wilayah,S2,17,4637/SK/BAN-PT/Ak/M/VII/2022,2022,perencanaanwilayah@univbatam.ac.id,Baik,2027-07-20,Masih Berlaku
Universitas Islam Bandung,Perencanaan Wilayah Dan Kota,S1,4,4955/SK/BAN-PT/Ak-PPJ/S/VII/2022,2022,planologi@unisba.ac.id,Unggul,2027-08-02,Masih Berlaku
Universitas Cenderawasih,Perencanaan Wilayah Dan Kota,S2,PTN,5079/SK/BAN-PT/Ak/M/VII/2022,2022,humas@uncen.ac.id,Baik,2027-07-27,Masih Berlaku
Universitas Indo Global Mandiri,Perencanaan Wilayah Dan Kota,S1,2,6537/SK/BAN-PT/Ak.Ppj/S/IX/2022,2022,pwk@uigm.ac.id,B,2027-10-11,Masih Berlaku
Universitas Pattimura,Perencanaan Wilayah Dan Kota,S1,PTN,6843/SK/BAN-PT/Ak.KP/S/X/2022,2026,prodipwkft.1@gmail.com,Baik,2031-04-29,Masih Berlaku
Universitas Brawijaya,Perencanaan Wilayah Dan Kota,S2,PTN,7117/SK/BAN-PT/Ak/M/X/2022,2022,humas@ub.ac.id,Unggul,2027-10-11,Masih Berlaku
Universitas Amal Ilmiah Yapis Wamena,Perencanaan Wilayah Dan Kota,S1,14,8437/SK/BAN-PT/Ak/S/X/2022,2022,unaim.wamena@gmail.com,Baik,2027-10-25,Masih Berlaku
Universitas Hasanuddin,Perencanaan Wilayah Dan Kota,S2,PTN,10086/SK/BAN-PT/Ak/M/XI/2022,2022,info@unhas.ac.id,Baik,2027-11-30,Masih Berlaku
Universitas Tarumanagara,Perencanaan Wilayah Dan Kota,S1,3,10516/SK/BAN-PT/Ak-PPJ/S/VIII/2021,2025,prodi.s1pwk@ft.untar.ac.id,Baik Sekali,2026-08-27,89 hari lagi kadaluarsa
Universitas Semarang,Perencanaan Wilayah Dan Kota,S1,6,884/SK/BAN-PT/Akred/S/II/2021,2026,info@usm.ac.id,Baik,,Masih Berlaku
Universitas Lampung,Perencanaan Wilayah Dan Kota,S2,PTN,1611/SK/BAN-PT/Akred/M/III/2021,2026,pspwk@kpa.unila.ac.id,Baik Sekali,2031-03-03,Masih Berlaku
Universitas Teknologi Sulawesi Utara,Perencanaan Wilayah Dan Kota,S1,16,8953/SK/BAN-PT/Akred/S/VI/2021,2021,info@utsu.ac.id,Baik,2026-06-22,23 hari lagi kadaluarsa
Universitas Gadjah Mada,Perencanaan Wilayah Dan Kota,S1,PTN,10215/SK/BAN-PT/Akred-Itnl/S/VIII/2021,2021,s1pwk@ugm.ac.id,Unggul,2026-08-18,80 hari lagi kadaluarsa
Universitas Gadjah Mada,Perencanaan Wilayah Dan Kota,S2,PTN,10214/SK/BAN-PT/Akred-Itnl/M/VIII/2021,2021,info@ugm.ac.id,Unggul,2026-08-18,80 hari lagi kadaluarsa
Universitas Pakuan,Perencanaan Wilayah Dan Kota,S2,4,10328/SK/BAN-PT/Akred/M/VIII/2021,2021,magisterpwk@unpak.ac.id,Baik,2026-08-24,86 hari lagi kadaluarsa
Institut Teknologi Bandung,Perencanaan Wilayah Dan Kota,S2,PTN,10660/SK/BAN-PT/AK-ISK/M/IX/2021,2026,pmpwk@pl.itb.ac.id,Unggul,2031-04-23,Masih Berlaku
Universitas Diponegoro,Perencanaan Tata Ruang Wilayah Dan Kota K. Pekalongan,D-III,PTN,12068/SK/BAN-PT/Akred/Dipl-III/XI/2021,2021,psdkupwkpekalongan@gmail.com,Baik,2026-11-02,156 hari lagi kadaluarsa
Universitas Indonesia,Kajian Pengembangan Perkotaan,S2,PTN,6470/SK/BAN-PT/Ak.KP/M/V/2025,2025,kppui@yahoo.com,Unggul,2029-11-20,Masih Berlaku
Universitas Gadjah Mada,Rancang Kota,S2,PTN,370/SK/BAN-PT/Ak/M/II/2024,2024,info@ugm.ac.id,Baik,2029-02-13,Masih Berlaku
Institut Teknologi Bandung,Rancang Kota,S2,PTN,5363/SK/BAN-PT/Ak-PPJ/M/VIII/2022,2022,sekres2@ar.itb.ac.id,Unggul,2027-08-23,Masih Berlaku
Institut Teknologi Yogyakarta,Ilmu Lingkungan,S2,5,4803/SK/BAN-PT/Ak.Ppj/M/VI/2024,2024,ity.sttl@gmail.com,Baik,2029-07-10,Masih Berlaku
Universitas Al-Muslim,Ilmu Lingkungan,S1,13,7472/SK/BAN-PT/Ak.P/S/IX/2025,2025,info@almuslim.ac.id,Baik,2027-09-02,Masih Berlaku
Universitas Andalas,Ilmu Lingkungan,S2,PTN,3050/SK/BAN-PT/Ak/M/VIII/2023,2023,sekretariat@pasca.unand.ac.id,Baik Sekali,2028-08-01,Masih Berlaku
Universitas Bengkulu,Ilmu Lingkungan,S1,PTN,3811/SK/BAN-PT/Ak.P/S/IV/2024,2024,humas@unib.ac.id,Terakreditasi Sementara,2029-04-16,Masih Berlaku
Universitas Bojonegoro,Ilmu Lingkungan,S1,7,3784/SK/BAN-PT/Akred/S/VI/2022,2022,info@unigoro.ac.id,Baik,2027-06-21,Masih Berlaku
Universitas Brawijaya,Ilmu Lingkungan,S3,PTN,743/SK/BAN-PT/Ak/D/III/2024,2024,humas@ub.ac.id,Unggul,2029-03-13,Masih Berlaku
Universitas Caritas Indonesia,Ilmu Lingkungan,S1,14,5782/SK/BAN-PT/Ak.P/S/IX/2024,2024,univcaritasindonesia@gmail.com,Terakreditasi Sementara,2029-09-03,Masih Berlaku
Universitas Diponegoro,Ilmu Lingkungan,S2,PTN,7476/SK/BAN-PT/Ak.Ppj/M/IX/2025,2025,mil@live.undip.ac.id,Unggul,2030-09-05,Masih Berlaku
Universitas Diponegoro,Ilmu Lingkungan,S3,PTN,518/SK/BAN-PT/Ak.Ppj/D/II/2023,2023,dil@live.undip.ac.id,A,2028-02-21,Masih Berlaku
Universitas Dumoga Kotamobagu,Ilmu Lingkungan,S1,16,7303/SK/BAN-PT/Ak.P/S/VIII/2025,2025,admin-udk@udk.ac.id,Baik,2027-08-13,Masih Berlaku
Universitas Halu Oleo,Ilmu Lingkungan,S1,PTN,7500/SK/BAN-PT/Ak.S/S/IX/2025,2026,ilmu.lingkungan@uho.ac.id,Baik Sekali,2031-05-18,Masih Berlaku
Universitas Hasanuddin,Ilmu Lingkungan,S3,PTN,7128/SK/BAN-PT/Ak/S3/VIII/2025,2025,info@unhas.ac.id,Baik Sekali,2030-08-05,Masih Berlaku
Universitas Ibn Khaldun,Ilmu Lingkungan,S1,4,361/SK/BAN-PT/Ak.P/S/III/2025,2025,ft@uika-bogor.ac.id,Baik,2030-12-16,Masih Berlaku
Universitas Indonesia,Ilmu Lingkungan,S2,PTN,6763/SK/BAN-PT/Ak.Ppj/M/VI/2025,2025,psil_ui@link.net.id,Unggul,2030-06-29,Masih Berlaku
Universitas Indonesia,Ilmu Lingkungan,S3,PTN,1772/SK/BAN-PT/Ak.KP/D/V/2023,2025,psil_ui@link.net.id,Unggul,2030-12-31,Masih Berlaku
Universitas Islam Negeri Antasari Banjarmasin,Ilmu Lingkungan,S1,PTAN,7171/SK/BAN-PT/Ak.P/2.0/S1/IX/2025,2025,humas@uin-antasari.ac.id,Terakreditasi Sementara,2030-09-09,Masih Berlaku
Universitas Ivet,Ilmu Lingkungan,S1,6,1335/SK/BAN-PT/Akred/S/III/2022,2022,info@ivet.ac.id,Baik,2027-03-01,Masih Berlaku
Universitas Jambi,Ilmu Lingkungan,S2,PTN,13752/SK/BAN-PT/Ak-PPJ/M/XII/2021,2021,humas@unja.ac.id,B,2027-01-11,Masih Berlaku
Universitas Jenderal Soedirman,Ilmu Lingkungan,S2,PTN,3775/SK/BAN-PT/Akred/M/VI/2022,2022,pmsil_unsoed@yahoo.com,Baik Sekali,2027-06-21,Masih Berlaku
Universitas Katolik Soegijapranata,Ilmu Lingkungan,S3,6,8945/SK/BAN-PT/Akred/D/VI/2021,2021,humas@unika.ac.id,Baik,2026-06-22,23 hari lagi kadaluarsa
Universitas Kuningan,Ilmu Lingkungan,S1,4,4126/SK/BAN-PT/Akred/S/VII/2022,2022,info@uniku.ac.id,Baik,2027-07-05,Masih Berlaku
Universitas Lambung Mangkurat,Ilmu Lingkungan,S1,PTN,2401/SK/BAN-PT/Ak.P/S1/IV/2025,2025,humas@ulm.ac.id,Terakreditasi Sementara,2030-04-14,Masih Berlaku
Universitas Lambung Mangkurat,Ilmu Lingkungan,S3,PTN,601/SK/BAN-PT/Ak/D/II/2024,2024,humas@ulm.ac.id,Baik Sekali,2029-02-27,Masih Berlaku
Universitas Lampung,Ilmu Lingkungan,S2,PTN,6321/SK/BAN-PT/Ak/M/V/2025,2025,pps@unila.ac.id,Unggul,2030-05-06,Masih Berlaku
Universitas Lampung,Ilmu Lingkungan,S3,PTN,6625/SK/BAN-PT/Ak/D/V/2025,2025,humas@kpa.unila.ac.id,Baik Sekali,2030-05-20,Masih Berlaku
Universitas Lancang Kuning,Ilmu Lingkungan,S2,17,6428/SK/BAN-PT/Ak/M/X/2024,2024,s2ilmu_lingkungan@unilak.ac.id,Baik,2029-10-22,Masih Berlaku
Universitas Maritim Raja Ali Haji (UMRAH),Ilmu Lingkungan,S2,PTN,1220/SK/BAN-PT/Ak/M/IV/2023,2023,pascamil@umrah.ac.id,Baik,2028-04-04,Masih Berlaku
Universitas Mataram,Ilmu Lingkungan,S1,PTN,3467/SK/BAN-PT/Akred/S/VI/2022,2022,ilmulingkungan@unram.ac.id,Baik,2027-06-07,Masih Berlaku
Universitas Muhammadiyah Madiun,Ilmu Lingkungan,S1,7,2103/SK/BAN-PT/Ak/S/VI/2023,2023,ummad@ummad.ac.id,Baik,2028-06-06,Masih Berlaku
Universitas Muhammadiyah Mataram,Ilmu Lingkungan,S2,8,696/SK/BAN-PT/Ak/M/III/2024,2024,info@ummat.ac.id,Baik Sekali,2029-03-05,Masih Berlaku
Universitas Muhammadiyah Papua,Ilmu Lingkungan,S1,14,6326/SK/BAN-PT/Ak/S/V/2025,2025,mail@umpapua.ac.id,Baik,2030-05-06,Masih Berlaku
Universitas Mulawarman,Ilmu Lingkungan,S1,PTN,6953/SK/BAN-PT/Ak.S/S1/VII/2025,2026,humas@unmul.ac.id,Baik,2031-05-12,Masih Berlaku
Universitas Mulawarman,Ilmu Lingkungan,S3,PTN,4207/SK/BAN-PT/Ak/D/X/2023,2023,humas@unmul.ac.id,Baik Sekali,2028-10-17,Masih Berlaku
Universitas Mulawarman,Ilmu Lingkungan,S2,PTN,447/SK/BAN-PT/Ak-PPJ/M/I/2022,2022,psmil@unmul.ac.id,B,2026-08-05,67 hari lagi kadaluarsa
Universitas Musi Rawas,Ilmu Lingkungan,S2,2,342/SK/BAN-PT/Ak/M/III/2025,2025,info@unmura.ac.id,Baik,2030-03-04,Masih Berlaku
Universitas Musi Rawas,Ilmu Lingkungan,S1,2,7762/SK/BAN-PT/Ak/S/X/2025,2025,info@unmura.ac.id,Baik,2030-10-01,Masih Berlaku
Universitas Negeri Gorontalo,Ilmu Lingkungan,S1,PTN,851/SK/BAN-PT/Ak.P/S/III/2024,2026,ilmulingkungan@ung.ac.id,Baik,2031-05-12,Masih Berlaku
Universitas Negeri Gorontalo,Ilmu Lingkungan,S3,PTN,444/SK/BAN-PT/Ak.P/D/II/2024,2024,info@ung.ac.id,Terakreditasi Sementara,2029-02-20,Masih Berlaku
Universitas Negeri Manado,Ilmu Lingkungan,S1,PTN,6579/SK/BAN-PT/Ak.P/S/XI/2024,2024,humas@unima.ac.id,Terakreditasi Sementara,2029-11-05,Masih Berlaku
Universitas Negeri Padang,Ilmu Lingkungan,S1,PTN,6132/SK/BAN-PT/Ak.P/S/III/2025,2025,lingkungan@fmipa.unp.ac.id,Terakreditasi Sementara,2030-03-25,Masih Berlaku
Universitas Negeri Padang,Ilmu Lingkungan,S3,PTN,7805/SK/BAN-PT/Ak.S/D/X/2025,2025,humas@unp.ac.id,B,,Masih Berlaku
Universitas Negeri Padang,Ilmu Lingkungan,S2,PTN,5153/SK/BAN-PT/Ak.Ppj/M/VII/2024,2024,ppsunp@telkom.net,A,2029-07-31,Masih Berlaku
Universitas Negeri Semarang,Ilmu Lingkungan,S1,PTN,1085/SK/BAN-PT/Ak/S/III/2023,2023,lingkungan@mail.unnes.ac.id,Baik,2028-03-28,Masih Berlaku
Universitas Negeri Yogyakarta,Ilmu Lingkungan,S2,PTN,7012/SK/BAN-PT/Ak.P/S2/VII/2025,2026,humas@uny.ac.id,Baik,2031-04-28,Masih Berlaku
Universitas Nusa Cendana,Ilmu Lingkungan,S3,PTN,6122/SK/BAN-PT/Ak.P/D/X/2024,2024,info@undana.ac.id,Terakreditasi Sementara,2029-10-03,Masih Berlaku
Universitas Padjadjaran,Ilmu Lingkungan,S3,PTN,192/SK/BAN-PT/Ak.Ppj/D/I/2023,2023,prodi.mil-sil.pasca@unpad.ac.id,B,2027-08-02,Masih Berlaku
Universitas Padjadjaran,Ilmu Lingkungan,S2,PTN,1754/SK/BAN-PT/Ak.Ppj/M/V/2023,2023,prodi.mil-sil.pasca@unpad.ac.id,A,2028-05-23,Masih Berlaku
Universitas Palangka Raya,Ilmu Lingkungan,S3,PTN,7317/SK/BAN-PT/Ak.S/D/VIII/2025,2025,info@upr.ac.id,B,,Masih Berlaku
Universitas Papua,Ilmu Lingkungan,S3,PTN,1155/SK/BAN-PT/Akred/D/II/2022,2022,s3ilmulingkungan@unipa.ac.id,Baik,2027-02-22,Masih Berlaku
Universitas Pembangunan Nasional Veteran Jawa Timur,Ilmu Lingkungan,S2,PTN,8119/SK/BAN-PT/Ak.S/M/X/2025,2025,humas@upnjatim.ac.id,Baik,,Masih Berlaku
Universitas Persatuan Islam,Ilmu Lingkungan,S1,4,361/SK/BAN-PT/Ak/S/II/2024,2024,ilmulingkunganunipi@gmail.com,Baik,2029-02-06,Masih Berlaku
Universitas Riau,Ilmu Lingkungan,S2,PTN,1167/SK/BAN-PT/Ak.Ppj/M/IV/2024,2024,msi-ps@unri.ac.id,B,2029-04-17,Masih Berlaku
Universitas Sebelas Maret,Ilmu Lingkungan,S2,PTN,7431/SK/BAN-PT/Ak/M/IX/2025,2025,ilmulingkungan@mail.uns.ac.id,Unggul,2030-09-02,Masih Berlaku
Universitas Sebelas Maret,Ilmu Lingkungan,S3,PTN,4125/SK/BAN-PT/Ak/D/V/2024,2024,s3ilmulingkungan@mail.uns.ac.id,Unggul,2029-05-14,Masih Berlaku
Universitas Sebelas Maret,Ilmu Lingkungan,S1,PTN,11449/SK/BAN-PT/Akred/S/X/2021,2021,lingkungan@mail.uns.ac.id,Baik,2026-10-06,129 hari lagi kadaluarsa
Universitas Serasan,Ilmu Lingkungan,S1,2,8106/SK/BAN-PT/Ak.P/S/X/2025,2025,mail@unsan.ac.id,Baik,2027-10-28,Masih Berlaku
Universitas Sriwijaya,Ilmu Lingkungan,S3,PTN,12453/SK/BAN-PT/Akred/D/XI/2021,2021,mppl@pps.unsri.ac.id,Baik Sekali,2026-11-17,171 hari lagi kadaluarsa
Universitas Tanjungpura,Ilmu Lingkungan,S2,PTN,917/SK/BAN-PT/Ak/M/III/2024,2024,humas@untan.ac.id,Baik Sekali,2029-03-19,Masih Berlaku
Universitas Udayana,Ilmu Lingkungan,S2,PTN,6332/SK/BAN-PT/Ak.KP/M/V/2025,2025,mil@unud.ac.id,Unggul,2027-07-26,Masih Berlaku
Universitas Udayana,Ilmu Lingkungan,S3,PTN,7299/SK/BAN-PT/Ak.Ppj/D/VIII/2025,2025,dil@unud.ac.id,B,2030-08-05,Masih Berlaku
Universitas Wira Bhakti,Ilmu Lingkungan,S1,9,69/SK/BAN-PT/Ak.P/S/I/2025,2025,info@wirabhakti.ac.id,Terakreditasi Sementara,2030-01-14,Masih Berlaku
Institut Pertanian Bogor,Ilmu Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,PTN,6350/SK/BAN-PT/Ak.KP/M/V/2025,2025,psl@apps.ipb.ac.id,Unggul,2028-08-17,Masih Berlaku
Institut Pertanian Bogor,Pengelolaan Sumberdaya Pesisir Dan Lautan,S3,PTN,6652/SK/BAN-PT/Ak.KP/D/V/2025,2025,spl@apps.ipb.ac.id,Unggul,2030-03-30,Masih Berlaku
Institut Pertanian Bogor,Pengelolaan Sumberdaya Pesisir Dan Lautan,S2,PTN,6382/SK/BAN-PT/Ak.Ppj/M/X/2024,2025,spl@apps.ipb.ac.id,Unggul,2029-10-31,Masih Berlaku
Institut Pertanian Bogor,Manajemen Sumberdaya Lahan,S1,PTN,1141/SK/BAN-PT/Ak.KP/S/III/2023,2023,msl@apps.ipb.ac.id,Unggul,2027-07-05,Masih Berlaku
Institut Pertanian Bogor,Ilmu Pengelolaan Sumberdaya Alam Dan Lingkungan,S3,PTN,5309/SK/BAN-PT/Ak.KP/D/VIII/2022,2022,psl@apps.ipb.ac.id,Unggul,2027-08-16,Masih Berlaku
Politeknik Negeri Lampung,Teknik Sumberdaya Lahan Dan Lingkungan,D-III,PTN,0344/SK/LAM Teknik/VD3/VIII/2024,2024,ps_tsl@polinela.ac.id,Baik Sekali,2029-08-20,Masih Berlaku
Universitas Al-Muslim,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,13,6950/SK/BAN-PT/Ak.P/M/XII/2024,2025,info@almuslim.ac.id,Baik Sekali,2030-12-16,Masih Berlaku
Universitas Brawijaya,Pengelolaan Sumberdaya Lingkungan Dan Pembangunan,S2,PTN,10371/SK/BAN-PT/Ak.Ppj/M/XII/2022,2022,mppl@ub.ac.id,Unggul,2027-12-28,Masih Berlaku
Universitas Cenderawasih,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,PTN,3054/SK/BAN-PT/Ak-PPJ/M/V/2022,2022,humas@uncen.ac.id,B,2027-05-24,Masih Berlaku
Universitas Hasanuddin,Pengelolaan Sumberdaya Pesisir Terpadu,S2,PTN,1546/SK/BAN-PT/Akred/M/III/2022,2022,ppsp.fikp@unhas.ac.id,Baik Sekali,2027-03-08,Masih Berlaku
Universitas Jember,Pengelolaan Sumberdaya Air Pertanian,S2,PTN,9676/SK/BAN-PT/Ak/M/XI/2022,2022,mpsda@unej.ac.id,Baik Sekali,2027-11-22,Masih Berlaku
Universitas Lambung Mangkurat,Pengelolaan Sumberdaya Alam & Lingkungan,S2,PTN,2835/SK/BAN-PT/Akred/M/V/2021,2026,psdaling@ulm.ac.id,Baik Sekali,2031-05-12,Masih Berlaku
Universitas Mataram,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,PTN,6757/SK/BAN-PT/Ak.P/M/VI/2025,2025,psdaling@unram.ac.id,Baik,2027-06-04,Masih Berlaku
Universitas Mulawarman,Pengelolaan Sumberdaya Perikanan,S1,PTN,621/SK/BAN-PT/Ak.Ppj/S/II/2024,2024,psp_fpik@unmul.ac.id,A,2029-02-27,Masih Berlaku
Universitas Palangka Raya,Pengelolaan Sumberdaya Alam & Lingkungan,S2,PTN,3893/SK/BAN-PT/Ak.Ppj/M/IX/2023,2023,psdal@upr.ac.id,Baik Sekali,2027-11-15,Masih Berlaku
Universitas Panca Bhakti,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,11,6125/SK/BAN-PT/Ak.P/M/X/2024,2024,info@upb.ac.id,Terakreditasi Sementara,2029-10-03,Masih Berlaku
Universitas Pattimura,Manajemen Sumberdaya Kelautan Dan Pulau-pulau Kecil,S2,PTN,1170/SK/BAN-PT/Ak.Ppj/M/IV/2024,2024,psdp.fpik@unpatti.ac.id,B,2029-04-10,Masih Berlaku
Universitas Sam Ratulangi,Pengelolaan Sumberdaya Pembangunan,S2,PTN,6580/SK/BAN-PT/Ak.S/M/V/2025,2025,sim_usr@unsrat.ac.id,B,2031-06-17,Masih Berlaku
Universitas Serambi Mekkah,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,13,45/SK/BAN-PT/Ak.P/M/I/2025,2025,pps@serambimekkah.ac.id,Terakreditasi Sementara,2030-01-14,Masih Berlaku
Universitas Syiah Kuala,Pengelolaan Sumberdaya Pesisir Terpadu,S2,PTN,7571/SK/BAN-PT/Ak.S/M/IX/2025,2026,ppsp@usk.ac.id,Baik Sekali,2031-05-12,Masih Berlaku
Universitas Al-azhar Indonesia,Pengelolaan Sumber Daya Alam,S2,3,7772/SK/BAN-PT/Ak.P/M/X/2025,2025,info@uai.ac.id,Baik,2027-10-01,Masih Berlaku
Universitas Andalas,Pengelolaan Sumber Daya Alam,S2,PTN,6579/SK/BAN-PT/Ak.S/M/V/2025,2025,psdal@pasca.unand.ac.id,B,,Masih Berlaku
Universitas Bengkulu,Pengelolaan Sumber Daya Alam,S3,PTN,8267/SK/BAN-PT/Ak/D/XI/2025,2025,psdal.fp@unib.ac.id,Baik Sekali,2030-11-11,Masih Berlaku
Universitas Muhammadiyah Bangka Belitung,Konservasi Sumber Daya Alam,S1,2,4219/SK/BAN-PT/Ak/S/X/2023,2023,ksda@unmuhbabel.ac.id,Baik,2028-10-17,Masih Berlaku
Universitas Sumatera Utara,Pengelolaan Sumber Daya Alam Dan Lingkungan,S2,PTN,4650/SK/BAN-PT/Ak/M/VI/2024,2024,psdal@usu.ac.id,Baik Sekali,2029-06-11,Masih Berlaku
Universitas Syiah Kuala,Pengelolaan Sumber Daya Alam,S2,PTN,6373/SK/BAN-PT/Ak.S/M/V/2025,2025,psdl@usk.ac.id,B,2031-06-17,Masih Berlaku
Universitas Teknologi Sumbawa,Konservasi Sumber Daya Alam,S1,8,175/SK/BAN-PT/Ak.P/S/II/2025,2025,konservasi@uts.ac.id,Baik,2027-02-04,Masih Berlaku
Universitas Trunojoyo,Pengelolaan Sumber Daya Alam,S3,PTN,006/SK/BAN-PT/Ak.P/2.0/S3/X/2025,2025,pascasarjana@trunojoyo.ac.id,Terakreditasi Sementara,2030-10-06,Masih Berlaku
Universitas Trunojoyo,Pengelolaan Sumber Daya Alam,S2,PTN,5223/SK/BAN-PT/Ak/M/VIII/2024,2024,psdl@trunojoyo.ac.id,Baik Sekali,2029-08-06,Masih Berlaku
Politeknik Pertanian Negeri Samarinda,Pengelolaan Lingkungan,D-III,PTN,13352/SK/BAN-PT/Akred/Dipl-III/XII/2021,2021,pl@politanisamarinda.ac.id,Baik,2026-12-15,Masih Berlaku
Universitas Hasanuddin,Pengelolaan Lingkungan Hidup,S2,PTN,4127/SK/BAN-PT/Ak.Ppj/M/V/2024,2024,mpslh@pasca.unhas.ac.id,Unggul,2029-05-29,Masih Berlaku
Universitas Syiah Kuala,Pengelolaan Lingkungan,S2,PTN,7896/SK/BAN-PT/Ak.S/M/X/2025,2026,mpl@usk.ac.id,Unggul,2031-05-12,Masih Berlaku
Institut Pertanian Bogor,Manajemen Sumberdaya Perairan,S1,PTN,6484/SK/BAN-PT/Ak.KP/S/V/2025,2025,msp@apps.ipb.ac.id,Unggul,2028-04-04,Masih Berlaku
Institut Pertanian Bogor,Pengelolaan Sumberdaya Perairan,S2,PTN,2498/SK/BAN-PT/Ak.KP/M/VI/2023,2023,msp@apps.ipb.ac.id,Unggul,2027-09-27,Masih Berlaku
Institut Pertanian Bogor,Pengelolaan Sumberdaya Perairan,S3,PTN,4297/SK/BAN-PT/Ak.KP/D/X/2023,2023,msp@apps.ipb.ac.id,Unggul,2027-12-28,Masih Berlaku
Institut Teknologi Dan Bisnis Maritim Balik Diwa,Pemanfaatan Sumberdaya Perairan,S1,9,6095/SK/BAN-PT/Ak-PNB/S/IX/2022,2026,info@balikdiwa.ac.id,B,2030-12-14,Masih Berlaku
Universitas Diponegoro,Manajemen Sumberdaya Perairan,S3,PTN,4008/SK/BAN-PT/Ak.Ppj/D/V/2024,2024,msp.fpik@live.undip.ac.id,Unggul,2029-05-16,Masih Berlaku
Universitas Diponegoro,Manajemen Sumberdaya Perairan,S2,PTN,3731/SK/BAN-PT/Ak.KP/M/IV/2024,2024,msp.fpik@live.undip.ac.id,Unggul,2029-03-06,Masih Berlaku
Universitas Halmahera,Manajemen Sumberdaya Perairan,S1,12,3121/SK/BAN-PT/Ak/S/VIII/2023,2023,info@uniera.ac.id,Baik,2028-08-08,Masih Berlaku
